what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1677222551779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1677222551779
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1677222551779
java.vm.specification.version,sysinfo,,,"1.7",1677222551779
java.vm.vendor,sysinfo,,,"Oracle Corporation",1677222551779
java.vm.version,sysinfo,,,"24.51-b03",1677222551779
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677222552968
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1677222627958
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1677222627961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222629670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222633032
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1677222633042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1677222633042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222639527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222675396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222679123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222712290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1677222712310
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677222720177
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1677222738725
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1677222738759
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1677222738763
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1677222738772
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1677222746725
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677222748127
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1677222751438
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1677222751447
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1677222751448
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1677222751449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222751776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222758085
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1677222758204
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1677222758249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222758332
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677222758955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222759102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222759188
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1677222759449
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1677222759508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222761667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222761698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222762242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222762280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222762706
error,log,,,"Target selection failed.",1677222767399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222767432
error,log,,,"Target selection failed.",1677222767447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222768509
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677222768666
error,log,,,"Target selection failed.",1677222769430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222772364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222778726
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1677222780034
error,log,,,"Error logged from Debug Core: ",1677222785948
error,log,,,"Error logged from Debug Core: ",1677222785948
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677222789057
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677222791698
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677222794850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222796138
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1677222799702
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1677222799737
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1677222801203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222809195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1677222809214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222812425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222828067
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1677222828101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222831337
