what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677221541664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221550742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221561710
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1677221561723
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677221563884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221589133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221601810
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677221610758
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677221610842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221626911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221675329
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677221677607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1677221683163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221683965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221692657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1677221696391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221697491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221737377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677221739649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221740880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221888370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1677221888396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221892052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221893537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221895054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221896203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221897633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221913280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221916722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221927436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221927788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221931428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221931774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221932714
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677221934432
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677221934867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221938722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221942984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221945047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221980395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221984476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221986512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221987643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677221987788
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1677221987798
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677221998987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222000683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222006782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1677222006799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222008878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222010047
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677222013291
error,log,,,"Target selection failed.",1677222013392
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1677222013823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222014377
error,log,,,"Target selection failed.",1677222016030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222016141
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1677222016152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222019132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222022299
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677222032663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222034370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222037383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1677222037397
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1677222043606
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1677222043657
activated,view,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.views.MakeView",1677222044329
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1677222045431
activated,view,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.views.MakeView",1677222046056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222049274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222050899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222054035
error,log,,,"Target selection failed.",1677222054227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222222125
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1677222223273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222227819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222227936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222227984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222235699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222236411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222309574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1677222310511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222313065
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1677222314573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222314627
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1677222314645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1677222314645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222318550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222357532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1677222357547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222376779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222378071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222379206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222386558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222388945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222455746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222460066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222486143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222490436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222527398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222530757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222533473
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1677222533598
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1677222533926
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1677222533926
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1677222533926
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1677222533926
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1677222533927
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1677222533928
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1677222533928
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1677222533928
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1677222533929
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1677222533930
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1677222533930
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1677222533930
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1677222533932
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1677222533932
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1677222533932
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1677222533932
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1677222533933
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1677222533933
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1677222533934
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1677222533936
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1677222533936
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1677222533936
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1677222533936
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1677222533937
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1677222533937
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1677222533937
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1677222533937
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1677222533937
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1677222533937
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1677222533937
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1677222533937
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1677222533938
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1677222533939
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1677222533939
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1677222533940
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1677222533942
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1677222533943
stopped,bundle,org.eclipse.rse.shells.ui,3.0.301.R33x_v201107181530,"org.eclipse.rse.shells.ui",1677222533944
stopped,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1677222533945
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1677222533946
stopped,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1677222533947
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1677222533948
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1677222533948
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1677222533948
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1677222533948
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1677222533948
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1677222533949
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1677222533950
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1677222533951
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1677222533951
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1677222533953
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1677222533954
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1677222533954
stopped,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1677222533954
stopped,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1677222533954
stopped,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1677222533954
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1677222551732
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1677222551733
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1677222551733
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1677222551734
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1677222551735
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1677222551735
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1677222551736
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1677222551736
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1677222551736
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1677222551737
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1677222551737
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1677222551738
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1677222551738
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1677222551739
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1677222551740
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1677222551740
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1677222551741
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1677222551741
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1677222551742
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1677222551743
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1677222551743
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1677222551744
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1677222551745
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1677222551745
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1677222551746
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1677222551746
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1677222551747
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1677222551747
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1677222551748
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1677222551749
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1677222551749
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1677222551749
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1677222551750
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1677222551750
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1677222551751
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1677222551751
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1677222551752
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1677222551752
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1677222551753
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1677222551754
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1677222551754
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1677222551755
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1677222551755
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1677222551756
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1677222551756
